преѡсщ҃е́ннѣйшїй	преосвяще́ннейший
преѡсщ҃е́ннѣйшаѧ	преосвяще́ннейшая
преѡсщ҃е́ннѣйшее	преосвяще́ннейшее
преѡсщ҃е́ннѣйшимъ	преосвяще́ннейшим
преѡсщ҃е́ннѣйшихъ	преосвяще́ннейших
преѡсщ҃е́ннѣйшїи	преосвяще́ннейшии
преѡсщ҃е́ннѣйшими	преосвяще́ннейшими
преѡсщ҃е́ннѣйше	преосвяще́ннейше
преѡсщ҃е́ннѣйшꙋю	преосвяще́ннейшую
высокопреѡсщ҃е́ннѣйшїй	высокопреосвяще́ннейший
высокопреѡсщ҃е́ннѣйшемꙋ	высокопреосвяще́ннейшему
высокопреѡсщ҃е́ннѣйшемъ	высокопреосвяще́ннейшем
высокопреѡсщ҃е́ннѣйшимъ	высокопреосвяще́ннейшим
высокопреѡсщ҃е́ннѣйшихъ	высокопреосвяще́ннейших
высокопреѡсщ҃е́ннѣйше	высокопреосвяще́ннейше
